epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
139,5137.99,0.7419,0.45118,1.01723,0.93495,0.94219,0.96494,0.77738,0.91992,0.40392,1.05911,0.00045285,0.00045285,0.00045285
140,5174.62,0.74613,0.44888,1.01493,0.95091,0.92349,0.96065,0.77614,0.91551,0.40657,1.05759,0.000445777,0.000445777,0.000445777
141,5211.32,0.74565,0.44372,1.01048,0.94365,0.93224,0.96254,0.77727,0.92373,0.40375,1.05378,0.000438703,0.000438703,0.000438703
142,5247.82,0.74278,0.44701,1.01117,0.95184,0.93016,0.96485,0.78024,0.92005,0.40088,1.04963,0.000431629,0.000431629,0.000431629
143,5284.63,0.73837,0.43836,1.01159,0.95545,0.92516,0.96398,0.77709,0.91468,0.40225,1.05289,0.000424556,0.000424556,0.000424556
144,5321.5,0.73937,0.44188,1.01132,0.9522,0.93442,0.96345,0.77743,0.91749,0.39979,1.0549,0.000417482,0.000417482,0.000417482
145,5358.22,0.73123,0.43468,1.00828,0.95268,0.92592,0.96233,0.77743,0.92218,0.40278,1.05909,0.000410409,0.000410409,0.000410409
146,5394.81,0.72433,0.42948,1.0065,0.9535,0.92541,0.96238,0.77824,0.92107,0.40353,1.05902,0.000403335,0.000403335,0.000403335
147,5431.36,0.72787,0.43588,1.00967,0.94755,0.93131,0.96067,0.77666,0.92345,0.40538,1.06027,0.000396262,0.000396262,0.000396262
148,5467.97,0.73533,0.44203,1.01038,0.93556,0.94777,0.96291,0.7782,0.92088,0.40305,1.05333,0.000389188,0.000389188,0.000389188
149,5504.34,0.73591,0.43802,1.00622,0.95207,0.93098,0.96257,0.77751,0.92041,0.40467,1.05022,0.000382115,0.000382115,0.000382115
150,5540.99,0.73802,0.43489,1.00689,0.95121,0.93498,0.96485,0.77845,0.92124,0.40126,1.05158,0.000375041,0.000375041,0.000375041
151,5577.1,0.72156,0.4333,1.00727,0.94032,0.94185,0.96553,0.78,0.91822,0.39849,1.05178,0.000367967,0.000367967,0.000367967
152,5613.41,0.72465,0.43845,1.00843,0.93482,0.94614,0.96579,0.77939,0.91804,0.39814,1.05502,0.000360894,0.000360894,0.000360894
153,5650.09,0.71999,0.43671,0.99981,0.95498,0.92644,0.9631,0.77953,0.91587,0.40179,1.05517,0.00035382,0.00035382,0.00035382
154,5686.87,0.72004,0.42692,1.00043,0.95639,0.92524,0.96435,0.78254,0.91426,0.40222,1.05687,0.000346747,0.000346747,0.000346747
155,5723.76,0.70294,0.41916,1.00023,0.9589,0.92283,0.96333,0.78142,0.91536,0.39746,1.06647,0.000339673,0.000339673,0.000339673
156,5759.99,0.71732,0.42749,1.00092,0.95088,0.92823,0.96457,0.77925,0.91723,0.3994,1.06729,0.0003326,0.0003326,0.0003326
157,5796.43,0.70189,0.4196,0.99844,0.95103,0.92241,0.96458,0.78376,0.9169,0.40414,1.05987,0.000325526,0.000325526,0.000325526
158,5833.27,0.69971,0.41367,0.99407,0.95825,0.91979,0.96298,0.78411,0.92035,0.40358,1.06078,0.000318453,0.000318453,0.000318453
159,5869.83,0.70461,0.4146,0.99602,0.9353,0.93855,0.96216,0.78007,0.92003,0.40262,1.05461,0.000311379,0.000311379,0.000311379
160,5906.34,0.6943,0.41376,0.99201,0.94366,0.93044,0.96324,0.77704,0.92214,0.40354,1.05732,0.000304306,0.000304306,0.000304306
161,5942.58,0.70552,0.4181,0.99602,0.94243,0.93673,0.965,0.78179,0.91838,0.40173,1.05457,0.000297232,0.000297232,0.000297232
162,5979.29,0.70967,0.41503,0.99223,0.94081,0.93689,0.96398,0.78254,0.91772,0.40231,1.05453,0.000290158,0.000290158,0.000290158
163,6015.54,0.68324,0.40105,0.99019,0.93792,0.93757,0.96538,0.78063,0.91975,0.40334,1.05658,0.000283085,0.000283085,0.000283085
164,6052.14,0.7149,0.42283,0.99216,0.94649,0.92922,0.96365,0.77945,0.92081,0.40121,1.05726,0.000276011,0.000276011,0.000276011
165,6088.55,0.69008,0.4102,0.99341,0.93277,0.94419,0.96505,0.78221,0.91694,0.40082,1.05761,0.000268938,0.000268938,0.000268938
166,6125.33,0.70724,0.42091,0.99479,0.93797,0.94054,0.96386,0.78412,0.91335,0.39765,1.05875,0.000261864,0.000261864,0.000261864
167,6162.01,0.69079,0.40861,0.99382,0.93801,0.93998,0.96463,0.78525,0.91418,0.39707,1.06315,0.000254791,0.000254791,0.000254791
168,6198.59,0.68972,0.41074,0.99043,0.95383,0.92144,0.96448,0.78304,0.91438,0.3961,1.06158,0.000247717,0.000247717,0.000247717
169,6235.1,0.69775,0.40788,0.9932,0.94262,0.9355,0.96412,0.7845,0.91318,0.39614,1.06035,0.000240644,0.000240644,0.000240644
170,6271.46,0.68643,0.40628,0.98859,0.95424,0.9178,0.96239,0.7841,0.91425,0.39815,1.05934,0.00023357,0.00023357,0.00023357
171,6308.25,0.68095,0.39882,0.98991,0.9527,0.92212,0.96352,0.7848,0.91565,0.40115,1.06555,0.000226497,0.000226497,0.000226497
172,6344.91,0.6797,0.39918,0.9881,0.95215,0.9224,0.964,0.78552,0.91367,0.40118,1.06344,0.000219423,0.000219423,0.000219423
173,6381.74,0.6764,0.39682,0.98691,0.94642,0.92646,0.96345,0.78495,0.91609,0.40126,1.06418,0.000212349,0.000212349,0.000212349
174,6418.35,0.67476,0.3981,0.98764,0.94136,0.9364,0.96214,0.78445,0.91634,0.39931,1.06327,0.000205276,0.000205276,0.000205276
175,6454.85,0.67439,0.39856,0.98347,0.93935,0.93571,0.96214,0.78509,0.91446,0.39784,1.05975,0.000198202,0.000198202,0.000198202
176,6491.51,0.67574,0.3998,0.99226,0.95135,0.92539,0.96391,0.78532,0.91379,0.39755,1.06057,0.000191129,0.000191129,0.000191129
